placar_casa,placar_visitante,data,round,stage,ano,equipe_casa,equipe_visitante,Pts_casa,3P_casa,2P_casa,LL_casa,RT_casa,RO_casa,RD_casa,AS_casa,ER_casa,IA%_casa,3PC_casa,3PT_casa,3P%_casa,2PC_casa,2PT_casa,2P%_casa,LLC_casa,LLT_casa,LL%_casa,EN_casa,BR_casa,B/E_casa,TO_casa,FC_casa,T/FC_casa,ET_casa,VI_casa,EF_casa,Pts_visitante,3P_visitante,2P_visitante,LL_visitante,RT_visitante,RO_visitante,RD_visitante,AS_visitante,ER_visitante,IA%_visitante,3PC_visitante,3PT_visitante,3P%_visitante,2PC_visitante,2PT_visitante,2P%_visitante,LLC_visitante,LLT_visitante,LL%_visitante,EN_visitante,BR_visitante,B/E_visitante,TO_visitante,FC_visitante,T/FC_visitante,ET_visitante,VI_visitante,EF_visitante
92,79,2017-04-25,2,4,2016-2017,Sesi Franca,Paulistano,76.8,21.6,36.0,19.2,35.8,11.0,24.8,15.2,12.4,1.2939999999999998,7.2,23.0,30.786,18.0,36.0,49.384,19.2,25.6,72.966,2.6,7.8,0.636,1.0,20.0,0.062,12.4,2.2,84.0,80.4,27.6,35.2,17.6,39.8,10.6,29.2,17.0,10.8,1.732,9.2,28.0,33.034000000000006,17.6,37.0,47.902,17.6,21.2,82.056,2.0,5.6,0.5900000000000001,2.0,21.2,0.098,10.8,2.8,92.2
76,85,2017-04-25,3,4,2016-2017,Brasília,Bauru Basket,80.8,24.0,39.6,17.2,34.4,10.2,24.2,18.8,16.4,1.192,8.0,23.0,35.178,19.8,39.8,50.336,17.2,21.2,80.244,1.8,9.2,0.564,2.0,22.6,0.088,16.4,2.8,89.8,85.6,27.0,40.0,18.6,37.0,11.2,25.8,17.8,13.8,1.3439999999999999,9.0,24.8,36.355999999999995,20.0,35.4,58.248000000000005,18.6,25.8,72.05199999999999,1.6,7.0,0.514,1.6,20.4,0.07599999999999998,13.8,3.4,96.8
79,90,2017-04-26,3,4,2016-2017,Flamengo,Pinheiros,90.2,31.2,37.6,21.4,40.0,12.4,27.6,22.0,14.4,1.7600000000000002,10.4,30.2,32.61,18.8,36.0,53.00600000000001,21.4,26.6,79.86800000000001,1.2,6.0,0.4779999999999999,1.6,22.8,0.068,14.4,2.2,103.2,81.0,19.2,44.0,17.8,34.8,9.4,25.4,14.2,12.8,1.336,6.4,19.4,32.757999999999996,22.0,42.6,52.95399999999999,17.8,22.0,80.176,2.4,8.0,0.756,3.2,22.2,0.152,12.8,1.8,90.6
83,87,2017-04-27,2,4,2016-2017,Mogi,Vitória,83.6,25.2,43.2,15.2,39.0,13.6,25.4,14.8,11.6,1.3699999999999999,8.4,28.8,29.921999999999997,21.6,38.2,56.95399999999999,15.2,21.2,70.30799999999999,2.2,8.8,0.776,1.0,19.2,0.05800000000000001,11.6,1.6,92.6,75.2,25.8,35.2,14.2,34.2,11.4,22.8,16.8,15.0,1.158,8.6,24.8,33.989999999999995,17.6,37.6,46.37,14.2,19.8,70.06800000000001,1.0,8.6,0.584,1.8,24.0,0.08,15.0,5.2,79.8
66,69,2017-04-28,3,4,2016-2017,Sesi Franca,Paulistano,76.8,24.0,35.6,17.2,35.0,11.0,24.0,15.0,11.2,1.4839999999999998,8.0,24.2,31.817999999999994,17.8,34.8,50.83,17.2,23.6,69.622,2.2,7.0,0.6220000000000001,0.6,22.6,0.036,11.2,2.0,83.6,79.6,30.0,32.4,17.2,36.2,9.4,26.8,14.6,11.2,1.4300000000000002,10.0,28.2,36.236000000000004,16.2,32.0,51.751999999999995,17.2,21.2,80.72200000000001,1.6,4.4,0.44799999999999995,2.0,20.4,0.10200000000000001,11.2,3.2,87.6
88,69,2017-04-29,3,4,2016-2017,Mogi,Vitória,85.4,27.0,42.8,15.6,36.6,12.8,23.8,16.2,10.2,1.8539999999999999,9.0,30.4,30.238,21.4,37.2,57.763999999999996,15.6,22.2,68.708,2.4,8.4,0.8880000000000001,0.8,20.2,0.042,10.2,1.6,93.4,76.2,28.2,35.6,12.4,36.8,12.6,24.2,16.2,15.0,1.1179999999999999,9.4,24.2,39.388,17.8,37.8,46.582,12.4,17.6,69.41600000000001,0.8,7.2,0.492,2.4,22.8,0.10800000000000001,15.0,4.4,83.8
80,78,2017-04-30,4,4,2016-2017,Bauru Basket,Brasília,86.6,24.6,42.8,19.2,35.2,10.8,24.4,16.6,13.8,1.244,8.2,21.8,37.69,21.4,37.8,58.14,19.2,26.6,72.248,1.8,7.4,0.5479999999999999,2.0,22.2,0.082,13.8,3.4,96.6,77.6,21.0,40.4,16.2,33.2,10.0,23.2,17.0,17.0,1.0100000000000002,7.0,22.0,32.448,20.2,39.6,51.467999999999996,16.2,19.4,83.164,1.2,8.0,0.46399999999999997,1.2,24.0,0.052000000000000005,17.0,3.6,82.4
102,98,2017-05-01,4,4,2016-2017,Pinheiros,Flamengo,82.8,20.4,46.4,16.0,36.8,10.0,26.8,15.4,12.6,1.4300000000000002,6.8,19.4,34.757999999999996,23.2,44.8,52.77,16.0,20.4,78.50999999999999,2.4,6.8,0.6799999999999999,3.0,22.6,0.14,12.6,1.6,93.6,87.4,30.6,36.4,20.4,38.8,13.0,25.8,21.6,12.8,1.828,10.2,30.8,31.498,18.2,35.6,51.626,20.4,25.4,79.868,1.4,6.0,0.506,2.0,23.0,0.084,12.8,1.6,100.0
87,105,2017-05-02,4,4,2016-2017,Paulistano,Sesi Franca,77.2,24.6,32.8,19.8,38.8,10.0,28.8,12.6,14.0,1.01,8.2,23.6,35.118,16.4,32.2,52.08200000000001,19.8,26.0,77.63999999999999,1.4,5.6,0.38999999999999996,2.8,21.0,0.13399999999999998,14.0,3.2,85.6,73.2,22.2,38.8,12.2,33.8,9.2,24.6,13.2,12.6,1.284,7.4,24.2,28.817999999999994,19.4,36.0,54.052,12.2,16.6,70.97200000000001,1.8,6.8,0.55,1.2,23.4,0.05600000000000001,12.6,2.6,77.8
82,80,2017-05-02,4,4,2016-2017,Vitória,Mogi,75.6,29.4,31.6,14.6,37.0,11.6,25.4,16.6,15.0,1.1400000000000001,9.8,24.8,40.224000000000004,15.8,34.8,44.660000000000004,14.6,19.6,72.59,1.0,6.8,0.47000000000000003,2.4,21.6,0.11000000000000001,15.0,3.2,84.4,85.0,27.0,42.0,16.0,35.6,11.2,24.4,16.2,10.2,1.8539999999999999,9.0,29.8,30.956,21.0,37.2,56.738,16.0,22.0,72.016,1.8,8.6,0.9039999999999999,1.0,21.8,0.046,10.2,2.0,93.2
75,78,2017-05-05,5,4,2016-2017,Flamengo,Pinheiros,85.4,26.4,38.0,21.0,37.0,11.4,25.6,21.2,13.4,1.69,8.8,29.2,29.360000000000003,19.0,37.4,50.931999999999995,21.0,25.0,84.428,1.2,6.6,0.53,2.4,24.0,0.098,13.4,1.4,96.4,88.6,24.0,46.4,18.2,39.0,11.6,27.4,16.6,12.8,1.488,8.0,20.6,38.092,23.2,46.0,51.33599999999999,18.2,22.4,81.864,2.2,6.8,0.6719999999999999,2.8,22.6,0.128,12.8,2.0,101.4
