Porcentagem de Treino,Temporada,Acurácia,Desvio Padrão Acurácia,F1-Score,Desvio Padrão F1-Score
0.2,2008-2009,0.64,-,0.50,-
0.2,2009-2010,0.68,-,0.56,-
0.2,2011-2012,0.67,-,0.53,-
0.2,2012-2013,0.61,-,0.46,-
0.2,2013-2014,0.60,-,0.46,-
0.2,2014-2015,0.58,-,0.43,-
0.2,2015-2016,0.57,-,0.41,-
0.2,2016-2017,0.54,-,0.38,-
0.2,2018-2019,0.62,-,0.48,-
0.2,2019-2020,0.53,-,0.37,-
0.2,2020-2021,0.54,-,0.38,-
0.2,2021-2022,0.62,-,0.47,-
0.2,2022-2023,0.56,-,0.40,-
0.2,2023-2024,0.57,-,0.41,-
0.2,-,0.60,0.05,0.45,0.06
0.4,2008-2009,0.66,-,0.53,-
0.4,2009-2010,0.66,-,0.53,-
0.4,2011-2012,0.66,-,0.53,-
0.4,2012-2013,0.64,-,0.50,-
0.4,2013-2014,0.63,-,0.49,-
0.4,2014-2015,0.61,-,0.47,-
0.4,2015-2016,0.54,-,0.38,-
0.4,2016-2017,0.54,-,0.38,-
0.4,2018-2019,0.58,-,0.43,-
0.4,2019-2020,0.54,-,0.38,-
0.4,2020-2021,0.50,-,0.33,-
0.4,2021-2022,0.63,-,0.49,-
0.4,2022-2023,0.57,-,0.42,-
0.4,2023-2024,0.56,-,0.41,-
0.4,-,0.60,0.05,0.45,0.06
0.5,2008-2009,0.64,-,0.50,-
0.5,2009-2010,0.68,-,0.55,-
0.5,2011-2012,0.67,-,0.54,-
0.5,2012-2013,0.62,-,0.48,-
0.5,2013-2014,0.63,-,0.48,-
0.5,2014-2015,0.63,-,0.49,-
0.5,2015-2016,0.54,-,0.38,-
0.5,2016-2017,0.57,-,0.41,-
0.5,2018-2019,0.61,-,0.47,-
0.5,2019-2020,0.57,-,0.41,-
0.5,2020-2021,0.50,-,0.34,-
0.5,2021-2022,0.60,-,0.45,-
0.5,2022-2023,0.59,-,0.44,-
0.5,2023-2024,0.58,-,0.43,-
0.5,-,0.60,0.05,0.45,0.06
0.6,2008-2009,0.63,-,0.49,-
0.6,2009-2010,0.63,-,0.49,-
0.6,2011-2012,0.63,-,0.49,-
0.6,2012-2013,0.66,-,0.53,-
0.6,2013-2014,0.64,-,0.50,-
0.6,2014-2015,0.63,-,0.49,-
0.6,2015-2016,0.55,-,0.39,-
0.6,2016-2017,0.54,-,0.38,-
0.6,2018-2019,0.66,-,0.52,-
0.6,2019-2020,0.58,-,0.42,-
0.6,2020-2021,0.50,-,0.33,-
0.6,2021-2022,0.57,-,0.42,-
0.6,2022-2023,0.61,-,0.46,-
0.6,2023-2024,0.59,-,0.43,-
0.6,-,0.60,0.05,0.45,0.06
0.8,2008-2009,0.60,-,0.46,-
0.8,2009-2010,0.67,-,0.53,-
0.8,2011-2012,0.67,-,0.53,-
0.8,2012-2013,0.70,-,0.58,-
0.8,2013-2014,0.64,-,0.50,-
0.8,2014-2015,0.61,-,0.47,-
0.8,2015-2016,0.65,-,0.51,-
0.8,2016-2017,0.54,-,0.38,-
0.8,2018-2019,0.68,-,0.55,-
0.8,2019-2020,0.62,-,0.47,-
0.8,2020-2021,0.48,-,0.31,-
0.8,2021-2022,0.57,-,0.42,-
0.8,2022-2023,0.62,-,0.47,-
0.8,2023-2024,0.55,-,0.39,-
0.8,-,0.61,0.06,0.47,0.07
0.9,2008-2009,0.71,-,0.59,-
0.9,2009-2010,0.65,-,0.51,-
0.9,2011-2012,0.67,-,0.53,-
0.9,2012-2013,0.69,-,0.56,-
0.9,2013-2014,0.56,-,0.40,-
0.9,2014-2015,0.52,-,0.35,-
0.9,2015-2016,0.58,-,0.42,-
0.9,2016-2017,0.50,-,0.33,-
0.9,2018-2019,0.73,-,0.61,-
0.9,2019-2020,0.62,-,0.47,-
0.9,2020-2021,0.44,-,0.27,-
0.9,2021-2022,0.61,-,0.47,-
0.9,2022-2023,0.59,-,0.44,-
0.9,2023-2024,0.62,-,0.47,-
0.9,-,0.61,0.08,0.46,0.09
