Janela Flutuante,Temporada,Acurácia,Desvio Padrão Acurácia,F1-Score,Desvio Padrão F1-Score
16-1,2008-2009,0.68,-,0.68,-
16-1,2009-2010,0.65,-,0.65,-
16-1,2011-2012,0.66,-,0.66,-
16-1,2012-2013,0.62,-,0.62,-
16-1,2013-2014,0.62,-,0.62,-
16-1,2014-2015,0.61,-,0.61,-
16-1,2015-2016,0.57,-,0.57,-
16-1,2016-2017,0.54,-,0.54,-
16-1,2018-2019,0.62,-,0.62,-
16-1,2019-2020,0.55,-,0.55,-
16-1,2020-2021,0.58,-,0.58,-
16-1,2021-2022,0.57,-,0.57,-
16-1,2022-2023,0.55,-,0.55,-
16-1,2023-2024,0.59,-,0.59,-
16-1,-,0.60,0.04,0.60,0.04
16-2,2008-2009,0.68,-,0.63,-
16-2,2009-2010,0.64,-,0.59,-
16-2,2011-2012,0.66,-,0.60,-
16-2,2012-2013,0.62,-,0.57,-
16-2,2013-2014,0.60,-,0.55,-
16-2,2014-2015,0.62,-,0.59,-
16-2,2015-2016,0.58,-,0.52,-
16-2,2016-2017,0.53,-,0.48,-
16-2,2018-2019,0.63,-,0.58,-
16-2,2019-2020,0.57,-,0.52,-
16-2,2020-2021,0.58,-,0.54,-
16-2,2021-2022,0.57,-,0.52,-
16-2,2022-2023,0.55,-,0.50,-
16-2,2023-2024,0.58,-,0.54,-
16-2,-,0.60,0.04,0.55,0.04
16-3,2008-2009,0.67,-,0.61,-
16-3,2009-2010,0.64,-,0.57,-
16-3,2011-2012,0.66,-,0.58,-
16-3,2012-2013,0.61,-,0.53,-
16-3,2013-2014,0.59,-,0.52,-
16-3,2014-2015,0.62,-,0.57,-
16-3,2015-2016,0.59,-,0.52,-
16-3,2016-2017,0.52,-,0.46,-
16-3,2018-2019,0.62,-,0.55,-
16-3,2019-2020,0.57,-,0.51,-
16-3,2020-2021,0.58,-,0.52,-
16-3,2021-2022,0.58,-,0.51,-
16-3,2022-2023,0.55,-,0.48,-
16-3,2023-2024,0.58,-,0.52,-
16-3,-,0.60,0.04,0.53,0.04
16-4,2008-2009,0.67,-,0.60,-
16-4,2009-2010,0.64,-,0.56,-
16-4,2011-2012,0.66,-,0.57,-
16-4,2012-2013,0.60,-,0.52,-
16-4,2013-2014,0.59,-,0.51,-
16-4,2014-2015,0.62,-,0.56,-
16-4,2015-2016,0.60,-,0.53,-
16-4,2016-2017,0.52,-,0.45,-
16-4,2018-2019,0.62,-,0.53,-
16-4,2019-2020,0.56,-,0.49,-
16-4,2020-2021,0.58,-,0.51,-
16-4,2021-2022,0.59,-,0.51,-
16-4,2022-2023,0.56,-,0.48,-
16-4,2023-2024,0.57,-,0.50,-
16-4,-,0.60,0.04,0.52,0.04
16-6,2008-2009,0.66,-,0.59,-
16-6,2009-2010,0.65,-,0.55,-
16-6,2011-2012,0.65,-,0.55,-
16-6,2012-2013,0.60,-,0.51,-
16-6,2013-2014,0.59,-,0.50,-
16-6,2014-2015,0.62,-,0.56,-
16-6,2015-2016,0.61,-,0.53,-
16-6,2016-2017,0.52,-,0.43,-
16-6,2018-2019,0.62,-,0.53,-
16-6,2019-2020,0.56,-,0.48,-
16-6,2020-2021,0.58,-,0.50,-
16-6,2021-2022,0.60,-,0.51,-
16-6,2022-2023,0.57,-,0.48,-
16-6,2023-2024,0.57,-,0.49,-
16-6,-,0.60,0.04,0.52,0.04
16-8,2008-2009,0.65,-,0.59,-
16-8,2009-2010,0.65,-,0.54,-
16-8,2011-2012,0.65,-,0.55,-
16-8,2012-2013,0.60,-,0.50,-
16-8,2013-2014,0.58,-,0.50,-
16-8,2014-2015,0.62,-,0.55,-
16-8,2015-2016,0.62,-,0.53,-
16-8,2016-2017,0.50,-,0.42,-
16-8,2018-2019,0.62,-,0.53,-
16-8,2019-2020,0.55,-,0.47,-
16-8,2020-2021,0.58,-,0.50,-
16-8,2021-2022,0.60,-,0.51,-
16-8,2022-2023,0.56,-,0.48,-
16-8,2023-2024,0.56,-,0.48,-
