Janela Incremental,Temporada,Acurácia,F1-Score
5,2008-2009,0.6901,0.6645
5,2009-2010,0.7073,0.6776
5,2011-2012,0.6094,0.5746
5,2012-2013,0.6429,0.6135
5,2013-2014,0.6139,0.6023
5,2014-2015,0.6357,0.5999
5,2015-2016,0.5969,0.5873
5,2016-2017,0.5857,0.58
5,2018-2019,0.6812,0.6715
5,2019-2020,0.5739,0.5739
5,2020-2021,0.6364,0.6295
5,2021-2022,0.6912,0.6839
5,2022-2023,0.589,0.5813
5,2023-2024,0.6273,0.6222
10,2008-2009,0.6714,0.6541
10,2009-2010,0.675,0.6338
10,2011-2012,0.6349,0.6125
10,2012-2013,0.7027,0.6767
10,2013-2014,0.66,0.6455
10,2014-2015,0.685,0.6677
10,2015-2016,0.6772,0.6689
10,2016-2017,0.5882,0.5882
10,2018-2019,0.6741,0.6612
10,2019-2020,0.6607,0.6609
10,2020-2021,0.6723,0.6632
10,2021-2022,0.7037,0.6985
10,2022-2023,0.6181,0.6103
10,2023-2024,0.6352,0.6328
15,2008-2009,0.7353,0.7213
15,2009-2010,0.7105,0.6681
15,2011-2012,0.6032,0.5644
15,2012-2013,0.6881,0.6595
15,2013-2014,0.6667,0.6553
15,2014-2015,0.6825,0.6653
15,2015-2016,0.6508,0.6418
15,2016-2017,0.609,0.6052
15,2018-2019,0.6818,0.6699
15,2019-2020,0.6514,0.6516
15,2020-2021,0.7034,0.6937
15,2021-2022,0.7519,0.7445
15,2022-2023,0.6383,0.6332
15,2023-2024,0.6752,0.6706
