Janela Incremental,Temporada,Acurácia,F1-Score
5,2008-2009,0.7042,0.6764
5,2009-2010,0.7805,0.7522
5,2011-2012,0.6094,0.5622
5,2012-2013,0.6518,0.6163
5,2013-2014,0.6238,0.6074
5,2014-2015,0.6512,0.6209
5,2015-2016,0.6047,0.5941
5,2016-2017,0.5714,0.567
5,2018-2019,0.6522,0.6437
5,2019-2020,0.6261,0.6251
5,2020-2021,0.6694,0.6596
5,2021-2022,0.6618,0.6537
5,2022-2023,0.5753,0.5653
5,2023-2024,0.6273,0.6196
10,2008-2009,0.6857,0.6527
10,2009-2010,0.725,0.6901
10,2011-2012,0.6349,0.6272
10,2012-2013,0.6937,0.6649
10,2013-2014,0.66,0.6455
10,2014-2015,0.6693,0.6414
10,2015-2016,0.6772,0.6707
10,2016-2017,0.5882,0.5872
10,2018-2019,0.6741,0.6674
10,2019-2020,0.6875,0.6876
10,2020-2021,0.7143,0.7072
10,2021-2022,0.6963,0.6899
10,2022-2023,0.6458,0.6369
10,2023-2024,0.6226,0.6181
15,2008-2009,0.7353,0.716
15,2009-2010,0.7632,0.7096
15,2011-2012,0.6349,0.6099
15,2012-2013,0.6789,0.6516
15,2013-2014,0.6667,0.6553
15,2014-2015,0.6905,0.6723
15,2015-2016,0.6746,0.6705
15,2016-2017,0.594,0.5912
15,2018-2019,0.6894,0.6765
15,2019-2020,0.6697,0.6699
15,2020-2021,0.7119,0.705
15,2021-2022,0.7594,0.7513
15,2022-2023,0.6596,0.6554
15,2023-2024,0.6433,0.6364
