Modelo,Janela Incremental,Temporada,Jogos,Acertos,Acuracia,F1-Score
extra_trees,5,2008-2009,231,167,0.7229437229437229,0.7103106537068801
extra_trees,5,2009-2010,156,111,0.7115384615384616,0.6543132980379943
extra_trees,5,2011-2012,170,109,0.6411764705882353,0.6060474559132932
extra_trees,5,2012-2013,344,226,0.6569767441860465,0.6363049095607235
extra_trees,5,2013-2014,310,181,0.5838709677419355,0.5793865708759326
extra_trees,5,2014-2015,279,181,0.6487455197132617,0.6133674482877748
extra_trees,5,2015-2016,249,149,0.5983935742971888,0.5901180479493733
extra_trees,5,2016-2017,254,138,0.5433070866141733,0.5329973265725686
extra_trees,5,2018-2019,212,135,0.6367924528301887,0.6246168517130986
extra_trees,5,2019-2020,201,124,0.6169154228855721,0.6169723208597456
extra_trees,5,2020-2021,260,182,0.7,0.6934883433306536
extra_trees,5,2021-2022,298,191,0.6409395973154363,0.6224941003196707
extra_trees,5,2022-2023,306,180,0.5882352941176471,0.5816496930639509
extra_trees,5,2023-2024,380,250,0.6578947368421053,0.6445776676689929
extra_trees,10,2008-2009,226,163,0.7212389380530974,0.7084179923442286
extra_trees,10,2009-2010,151,105,0.695364238410596,0.6575791022810891
extra_trees,10,2011-2012,165,114,0.6909090909090909,0.6688240629663225
extra_trees,10,2012-2013,339,224,0.6607669616519174,0.6433532622470557
extra_trees,10,2013-2014,305,185,0.6065573770491803,0.6026272577996716
extra_trees,10,2014-2015,274,184,0.6715328467153284,0.646666209183139
extra_trees,10,2015-2016,244,160,0.6557377049180327,0.6534857653716039
extra_trees,10,2016-2017,249,148,0.5943775100401606,0.59097760092882
extra_trees,10,2018-2019,207,132,0.6376811594202898,0.6282652451959452
extra_trees,10,2019-2020,196,123,0.6275510204081632,0.6273471621817857
extra_trees,10,2020-2021,255,167,0.6549019607843137,0.6449769716803918
extra_trees,10,2021-2022,293,198,0.6757679180887372,0.6604255026546699
extra_trees,10,2022-2023,301,192,0.6378737541528239,0.6342317686319426
extra_trees,10,2023-2024,375,243,0.648,0.6370710888915986
extra_trees,15,2008-2009,221,165,0.746606334841629,0.7365797929803852
extra_trees,15,2009-2010,146,102,0.6986301369863014,0.6603092329119727
extra_trees,15,2011-2012,160,109,0.68125,0.6487312102897878
extra_trees,15,2012-2013,334,220,0.6586826347305389,0.6392904010415499
extra_trees,15,2013-2014,300,175,0.5833333333333334,0.5817009897362133
extra_trees,15,2014-2015,269,183,0.6802973977695167,0.6601569818465088
extra_trees,15,2015-2016,239,141,0.5899581589958159,0.5850447059913586
extra_trees,15,2016-2017,244,148,0.6065573770491803,0.5996926300448455
extra_trees,15,2018-2019,202,129,0.6386138613861386,0.6281063398860586
extra_trees,15,2019-2020,191,123,0.643979057591623,0.6440376265117385
extra_trees,15,2020-2021,250,172,0.688,0.6797590458863958
extra_trees,15,2021-2022,288,203,0.7048611111111112,0.691678458635823
extra_trees,15,2022-2023,296,191,0.6452702702702703,0.6430265417679605
extra_trees,15,2023-2024,370,250,0.6756756756756757,0.6616912674276372
