Modelo,Janela Incremental,Temporada,Jogos,Acertos,Acuracia,F1-Score
knn,5,2008-2009,231,153,0.6623376623376623,0.6518181818181817
knn,5,2009-2010,156,101,0.6474358974358975,0.6205851761407316
knn,5,2011-2012,170,104,0.611764705882353,0.58723481195757
knn,5,2012-2013,344,212,0.6162790697674418,0.5998000764413607
knn,5,2013-2014,310,177,0.5709677419354838,0.56258533140532
knn,5,2014-2015,279,173,0.6200716845878136,0.6036291347817886
knn,5,2015-2016,249,148,0.5943775100401606,0.5893262218941528
knn,5,2016-2017,254,127,0.5,0.498941790646997
knn,5,2018-2019,212,121,0.5707547169811321,0.5671356874830394
knn,5,2019-2020,201,117,0.582089552238806,0.5758322723948317
knn,5,2020-2021,260,157,0.6038461538461538,0.5966969906045891
knn,5,2021-2022,298,179,0.6006711409395973,0.5896860549337691
knn,5,2022-2023,306,170,0.5555555555555556,0.5547829110348125
knn,5,2023-2024,380,237,0.6236842105263158,0.6194132873166524
knn,10,2008-2009,226,163,0.7212389380530974,0.7138712151043503
knn,10,2009-2010,151,93,0.6158940397350994,0.5882539824592804
knn,10,2011-2012,165,110,0.6666666666666666,0.6607407407407406
knn,10,2012-2013,339,217,0.640117994100295,0.6289534158671686
knn,10,2013-2014,305,176,0.5770491803278689,0.5740255319148936
knn,10,2014-2015,274,183,0.6678832116788321,0.6629946263711111
knn,10,2015-2016,244,147,0.6024590163934426,0.5920124066952293
knn,10,2016-2017,249,141,0.5662650602409639,0.5666863257224702
knn,10,2018-2019,207,129,0.6231884057971014,0.6141528910407629
knn,10,2019-2020,196,123,0.6275510204081632,0.6223768859770629
knn,10,2020-2021,255,158,0.6196078431372549,0.6156284041933913
knn,10,2021-2022,293,183,0.6245733788395904,0.6182592127694154
knn,10,2022-2023,301,189,0.627906976744186,0.6268775695948279
knn,10,2023-2024,375,243,0.648,0.643033694487439
knn,15,2008-2009,221,149,0.6742081447963801,0.6674233273749792
knn,15,2009-2010,146,91,0.6232876712328768,0.60550203698717
knn,15,2011-2012,160,113,0.70625,0.6890042074030838
knn,15,2012-2013,334,203,0.6077844311377245,0.591551959315108
knn,15,2013-2014,300,181,0.6033333333333334,0.6024315554260178
knn,15,2014-2015,269,171,0.6356877323420075,0.6315171974005194
knn,15,2015-2016,239,148,0.6192468619246861,0.6133216652537351
knn,15,2016-2017,244,139,0.569672131147541,0.5701421503284556
knn,15,2018-2019,202,124,0.6138613861386139,0.6051430645698694
knn,15,2019-2020,191,115,0.6020942408376964,0.5983845756024428
knn,15,2020-2021,250,165,0.66,0.6594861794959294
knn,15,2021-2022,288,186,0.6458333333333334,0.6306892555222252
knn,15,2022-2023,296,188,0.6351351351351351,0.6351351351351351
knn,15,2023-2024,370,238,0.6432432432432432,0.6352660735269431
