Modelo,Janela Incremental,Temporada,Jogos,Acertos,Acuracia,F1-Score
lightgbm,5,2008-2009,231,162,0.7012987012987013,0.6868930442598153
lightgbm,5,2009-2010,156,107,0.6858974358974359,0.6583044633242928
lightgbm,5,2011-2012,170,112,0.6588235294117647,0.6151610644257703
lightgbm,5,2012-2013,344,227,0.6598837209302325,0.6532125540748482
lightgbm,5,2013-2014,310,179,0.5774193548387097,0.5711036178902502
lightgbm,5,2014-2015,279,167,0.5985663082437276,0.5709929650754892
lightgbm,5,2015-2016,249,146,0.5863453815261044,0.5803082413984232
lightgbm,5,2016-2017,254,133,0.5236220472440944,0.517716128167197
lightgbm,5,2018-2019,212,132,0.6226415094339622,0.6255715790144969
lightgbm,5,2019-2020,201,121,0.6019900497512438,0.5944853367915051
lightgbm,5,2020-2021,260,171,0.6576923076923077,0.6549245169187825
lightgbm,5,2021-2022,298,189,0.6342281879194631,0.6344998166595005
lightgbm,5,2022-2023,306,186,0.6078431372549019,0.6058720691073632
lightgbm,5,2023-2024,380,236,0.6210526315789474,0.6197153859634145
lightgbm,10,2008-2009,226,165,0.7300884955752213,0.7145919991066693
lightgbm,10,2009-2010,151,100,0.6622516556291391,0.6432989510432185
lightgbm,10,2011-2012,165,119,0.7212121212121212,0.6970197846230903
lightgbm,10,2012-2013,339,217,0.640117994100295,0.6299342228545769
lightgbm,10,2013-2014,305,180,0.5901639344262295,0.5879571498059976
lightgbm,10,2014-2015,274,179,0.6532846715328468,0.6422175121756598
lightgbm,10,2015-2016,244,150,0.6147540983606558,0.6139113400305724
lightgbm,10,2016-2017,249,134,0.5381526104417671,0.5334964766404386
lightgbm,10,2018-2019,207,135,0.6521739130434783,0.6528667263725308
lightgbm,10,2019-2020,196,123,0.6275510204081632,0.6214462663678187
lightgbm,10,2020-2021,255,167,0.6549019607843137,0.6549019607843137
lightgbm,10,2021-2022,293,190,0.6484641638225256,0.6481698648153225
lightgbm,10,2022-2023,301,190,0.6312292358803987,0.6318459025242258
lightgbm,10,2023-2024,375,233,0.6213333333333333,0.620681716541251
lightgbm,15,2008-2009,221,165,0.746606334841629,0.7365797929803852
lightgbm,15,2009-2010,146,101,0.6917808219178082,0.6741976671211236
lightgbm,15,2011-2012,160,114,0.7125,0.6849226275876205
lightgbm,15,2012-2013,334,216,0.6467065868263473,0.635764801546401
lightgbm,15,2013-2014,300,179,0.5966666666666667,0.5928415474798534
lightgbm,15,2014-2015,269,178,0.6617100371747212,0.655742662606273
lightgbm,15,2015-2016,239,144,0.602510460251046,0.6027372043776832
lightgbm,15,2016-2017,244,130,0.5327868852459017,0.5275884975680057
lightgbm,15,2018-2019,202,131,0.6485148514851485,0.6489227225412141
lightgbm,15,2019-2020,191,116,0.6073298429319371,0.6028337441121739
lightgbm,15,2020-2021,250,170,0.68,0.6762802985271779
lightgbm,15,2021-2022,288,191,0.6631944444444444,0.6634725521580981
lightgbm,15,2022-2023,296,193,0.652027027027027,0.6524499549033355
lightgbm,15,2023-2024,370,239,0.6459459459459459,0.6451069616080035
