Modelo,Janela Incremental,Temporada,Jogos,Acertos,Acuracia,F1-Score
svm,5,2008-2009,231,165,0.7142857142857143,0.7088989441930619
svm,5,2009-2010,156,104,0.6666666666666666,0.6309842402616711
svm,5,2011-2012,170,114,0.6705882352941176,0.6497749919639987
svm,5,2012-2013,344,226,0.6569767441860465,0.6422455228793982
svm,5,2013-2014,310,189,0.6096774193548387,0.6029685388489932
svm,5,2014-2015,279,174,0.6236559139784946,0.605190496494066
svm,5,2015-2016,249,148,0.5943775100401606,0.5884575959343763
svm,5,2016-2017,254,147,0.5787401574803149,0.5697676585403882
svm,5,2018-2019,212,140,0.660377358490566,0.6596478057909567
svm,5,2019-2020,201,116,0.5771144278606966,0.5771563132708379
svm,5,2020-2021,260,186,0.7153846153846154,0.7084617293850354
svm,5,2021-2022,298,200,0.6711409395973155,0.6652272459672671
svm,5,2022-2023,306,204,0.6666666666666666,0.6606824661439772
svm,5,2023-2024,380,251,0.6605263157894737,0.6545841500144103
svm,10,2008-2009,226,168,0.7433628318584071,0.7360099897234523
svm,10,2009-2010,151,104,0.6887417218543046,0.6524341521716998
svm,10,2011-2012,165,115,0.696969696969697,0.6844678310195552
svm,10,2012-2013,339,216,0.6371681415929203,0.6209906288798309
svm,10,2013-2014,305,181,0.5934426229508196,0.5858253145817913
svm,10,2014-2015,274,185,0.6751824817518248,0.6574470257070518
svm,10,2015-2016,244,157,0.6434426229508197,0.6424360363473478
svm,10,2016-2017,249,148,0.5943775100401606,0.5878726820224771
svm,10,2018-2019,207,136,0.6570048309178744,0.6558427919486521
svm,10,2019-2020,196,125,0.6377551020408163,0.6377833972654857
svm,10,2020-2021,255,180,0.7058823529411765,0.6986968129849169
svm,10,2021-2022,293,200,0.6825938566552902,0.6750838822247027
svm,10,2022-2023,301,192,0.6378737541528239,0.6323362366778978
svm,10,2023-2024,375,244,0.6506666666666666,0.6442956075137195
svm,15,2008-2009,221,165,0.746606334841629,0.7390877998003101
svm,15,2009-2010,146,100,0.684931506849315,0.6448687434988805
svm,15,2011-2012,160,113,0.70625,0.6916604683526082
svm,15,2012-2013,334,212,0.6347305389221557,0.6213033429397162
svm,15,2013-2014,300,181,0.6033333333333334,0.5995714392570459
svm,15,2014-2015,269,182,0.6765799256505576,0.6598203226629968
svm,15,2015-2016,239,147,0.6150627615062761,0.6150627615062761
svm,15,2016-2017,244,153,0.6270491803278688,0.6232436249831669
svm,15,2018-2019,202,131,0.6485148514851485,0.6450827948961497
svm,15,2019-2020,191,124,0.6492146596858639,0.6492723593881937
svm,15,2020-2021,250,178,0.712,0.7052137486573576
svm,15,2021-2022,288,196,0.6805555555555556,0.6680772569444444
svm,15,2022-2023,296,190,0.6418918918918919,0.6393675149843202
svm,15,2023-2024,370,248,0.6702702702702703,0.6628974315930837
