Janela Incremental,Temporada,Jogos Avaliados,Acurácia,F1-Score
5,2008-2009,226,0.6549,0.628
5,2009-2010,151,0.6755,0.5622
5,2011-2012,165,0.6788,0.5984
5,2012-2013,339,0.646,0.6001
5,2013-2014,305,0.5967,0.5529
5,2014-2015,274,0.6314,0.5764
5,2015-2016,244,0.582,0.5785
5,2016-2017,249,0.5301,0.4775
5,2018-2019,207,0.6135,0.5835
5,2019-2020,196,0.5408,0.5313
5,2020-2021,255,0.6431,0.6253
5,2021-2022,293,0.6416,0.6097
5,2022-2023,301,0.5947,0.5864
5,2023-2024,375,0.6427,0.6338
10,2008-2009,216,0.6991,0.6732
10,2009-2010,141,0.6525,0.5723
10,2011-2012,155,0.7032,0.6619
10,2012-2013,329,0.6505,0.6088
10,2013-2014,295,0.6068,0.5834
10,2014-2015,264,0.6477,0.6247
10,2015-2016,234,0.6111,0.6052
10,2016-2017,239,0.5439,0.5128
10,2018-2019,197,0.6345,0.6182
10,2019-2020,186,0.6183,0.6139
10,2020-2021,245,0.6816,0.6675
10,2021-2022,283,0.6749,0.6313
10,2022-2023,291,0.6151,0.6095
10,2023-2024,365,0.6137,0.5993
15,2008-2009,206,0.767,0.7511
15,2009-2010,131,0.6794,0.6135
15,2011-2012,145,0.6759,0.6108
15,2012-2013,319,0.652,0.6151
15,2013-2014,285,0.614,0.5766
15,2014-2015,254,0.6417,0.6247
15,2015-2016,224,0.6161,0.5796
15,2016-2017,229,0.5153,0.4929
15,2018-2019,187,0.6471,0.6134
15,2019-2020,176,0.6023,0.5979
15,2020-2021,235,0.6851,0.6717
15,2021-2022,273,0.674,0.647
15,2022-2023,281,0.6512,0.643
15,2023-2024,355,0.662,0.6435
