Treino,Média
2008-2009_treino_1.csv_128-1,0.67
2008-2009_treino_2.csv_128-1,0.67
2008-2009_treino_3.csv_128-1,0.66
2008-2009_treino_4.csv_128-1,0.67
2008-2009_treino_5.csv_128-1,0.66
2008-2009_treino_6.csv_128-1,0.66
2008-2009_treino_7.csv_128-1,0.66
2008-2009_treino_8.csv_128-1,0.66
2008-2009_treino_9.csv_128-1,0.66
2008-2009_treino_10.csv_128-1,0.66
2008-2009_treino_11.csv_128-1,0.66
2008-2009_treino_12.csv_128-1,0.66
2008-2009_treino_13.csv_128-1,0.66
2008-2009_treino_14.csv_128-1,0.66
2008-2009_treino_15.csv_128-1,0.66
2008-2009_treino_16.csv_128-1,0.66
2008-2009_treino_17.csv_128-1,0.66
2008-2009_treino_18.csv_128-1,0.66
2008-2009_treino_19.csv_128-1,0.66
2008-2009_treino_20.csv_128-1,0.66
2008-2009_treino_21.csv_128-1,0.66
2008-2009_treino_22.csv_128-1,0.66
2008-2009_treino_23.csv_128-1,0.66
2008-2009_treino_24.csv_128-1,0.66
2008-2009_treino_25.csv_128-1,0.66
2008-2009_treino_26.csv_128-1,0.66
2008-2009_treino_27.csv_128-1,0.67
2008-2009_treino_28.csv_128-1,0.67
2008-2009_treino_29.csv_128-1,0.67
2008-2009_treino_30.csv_128-1,0.67
2008-2009_treino_31.csv_128-1,0.66
2008-2009_treino_32.csv_128-1,0.67
2008-2009_treino_33.csv_128-1,0.66
2008-2009_treino_34.csv_128-1,0.67
2008-2009_treino_35.csv_128-1,0.67
2008-2009_treino_36.csv_128-1,0.66
2008-2009_treino_37.csv_128-1,0.66
2008-2009_treino_38.csv_128-1,0.66
2008-2009_treino_39.csv_128-1,0.66
2008-2009_treino_40.csv_128-1,0.66
2008-2009_treino_41.csv_128-1,0.66
2008-2009_treino_42.csv_128-1,0.65
2008-2009_treino_43.csv_128-1,0.65
2008-2009_treino_44.csv_128-1,0.65
2008-2009_treino_45.csv_128-1,0.64
2008-2009_treino_46.csv_128-1,0.64
2008-2009_treino_47.csv_128-1,0.64
2008-2009_treino_48.csv_128-1,0.64
2008-2009_treino_49.csv_128-1,0.64
2008-2009_treino_50.csv_128-1,0.65
2008-2009_treino_51.csv_128-1,0.66
2008-2009_treino_52.csv_128-1,0.66
2008-2009_treino_53.csv_128-1,0.66
2008-2009_treino_54.csv_128-1,0.65
2008-2009_treino_55.csv_128-1,0.65
2008-2009_treino_56.csv_128-1,0.64
2008-2009_treino_57.csv_128-1,0.64
2008-2009_treino_58.csv_128-1,0.63
2008-2009_treino_59.csv_128-1,0.63
2008-2009_treino_60.csv_128-1,0.62
2008-2009_treino_61.csv_128-1,0.62
2008-2009_treino_62.csv_128-1,0.62
2008-2009_treino_63.csv_128-1,0.63
2008-2009_treino_64.csv_128-1,0.63
